Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Rotterdam|1.60|2.33|Monfils G.|France|2003|85.0|193.0|right|37.0|Krajinovic F.|Serbia|2008|75.0|185.0|right|32.0|indoors|20200215
Rotterdam|1.56|2.39|Auger Aliassime F.|Canada|2015|88.0|193.0|right|24.0|Carreno-Busta P.|Spain|2006|78.0|188.0|right|33.0|indoors|20200215
New York|1.80|1.99|Edmund K.|GreatBritain|2010|83.0|188.0|right|29.0|Kecmanovic M.|Serbia|2013|75.0|183.0|right|24.0|indoors|20200215
New York|2.05|1.78|Seppi A.|Italy|2000|78.0|191.0|right|40.0|Thompson J.|Australia|2010|82.0|183.0|right|30.0|indoors|20200215
New York|3.22|1.35|Jung J.|ChineseTaipei|2005|69.0|180.0|right|35.0|Opelka R.|USA|2013|102.0|211.0|right|26.0|indoors|20200215
Buenos Aires|2.52|1.53|Sousa P.|Portugal|2003|70.0|180.0|right|36.0|Schwartzman D.|Argentina|2008|64.0|170.0|right|32.0|clay|20200215
Buenos Aires|1.52|2.54|Ruud C.|Norway|2013|77.0|183.0|right|25.0|Londero J.|Argentina|2008|70.0|180.0|right|31.0|clay|20200215
Buenos Aires|3.43|1.31|Sousa P.|Portugal|2003|70.0|180.0|right|36.0|Monteiro T.|Brazil|2008|78.0|183.0|left|30.0|clay|20200215
Bangalore challenger|3.07|1.34|Bonzi B.|France|2013|76.0|185.0|right|28.0|Travaglia S.|Italy|2007|80.0|185.0|right|32.0|hard|20200215
Bangalore challenger|1.18|4.48|Duckworth J.|Australia|2006|82.0|183.0|right|32.0|Ocleppo J.|Italy|2011|88.0|188.0|right|27.0|hard|20200215
Delray Beach - seniors|1.18|4.48|Ferrer D.|Spain|2001|72|175|right|42|Levine J.|Canada|2004|68|175|left|36|hard|20200215
Delray Beach - seniors|1.18|4.48|Blake J.|USA|1998|83|185|right|44|Baghdatis M.|Cyprus|2002|82|178|right|39|hard|20200215
Delray Beach - seniors|1.18|4.48|Levine J.|Canada|2004|68|175|left|36|Haas T.|Germany|1996|88|187|right|46|hard|20200215
Cleveland challenger|1.47|2.57|Torpegaard M.|Denmark|2011|84.0|193.0|right|30.0|Bellucci T.|Brazil|2003|82.0|188.0|left|36.0|indoors|20200215
Cleveland challenger|1.67|2.13|Watanuki Y.|Japan|2013|63.0|180.0|right|26.0|Escobedo E.|Mexico|2010|82.0|185.0|right|28.0|indoors|20200215
Cleveland challenger|2.08|1.70|Bellucci T.|Brazil|2003|82.0|188.0|left|36.0|Blancaneaux G.|France|2014|75.0|180.0|right|26.0|indoors|20200215
Cleveland challenger|1.69|2.08|Torpegaard M.|Denmark|2011|84.0|193.0|right|30.0|Sarmiento R.|USA|2007|68.0|178.0|right|32.0|indoors|20200215
Cherbourg challenger|1.99|1.77|Marcora R.|Italy|2007|85.0|193.0|right|35.0|Zverev M.|Germany|2002|88.0|191.0|left|37.0|indoors|20200215
Cherbourg challenger|2.23|1.61|Safiullin R.|Russia|2013|75.0|185.0|right|27.0|Hoang A.|France|2011|76.0|183.0|right|28.0|indoors|20200215
Cherbourg challenger|2.23|1.61|Slobodshikov R.|Russia|2008|73.0|178.0|right|30.0|Rodriguez C.|Colombia|2004|76.0|180.0|right|34.0|indoors|20200215
Cherbourg challenger|1.34|4.21|Gomez A.|Colombia|2007|85.0|183.0|right|33.0|Zhu E.|USA|2014|70.0|185.0|right|26.0|indoors|20200215
Cherbourg challenger|1.67|2.07|Arguello F.|Argentina|2008|77.0|178.0|right|32.0|Sakamoto P.|Brazil|2008|78.0|178.0|right|31.0|indoors|20200215
Cherbourg challenger|1.38|2.78|Barrios Vera M.|Chile|2013|88.0|191.0|right|26.0|Kestelboim M.|Argentina|2011|||right|28.0|indoors|20200215
Cherbourg challenger|2.00|1.71|Zuk K.|Poland|2015|78.0|183.0|right|25.0|Heyman C.|Belgium|2012|90.0|191.0|left|30.0|indoors|20200215
Cherbourg challenger|2.00|1.71|Zakharov A.|Russia|2017|80.0|185.0|right|24.0|Igoshin A.|Russia|2010|92.0|191.0|right|32.0|indoors|20200215
Cherbourg challenger|2.00|1.71|Tiurnev E.|Russia|2012|||right|27.0|Kravchuk K.|Russia|2003|80.0|191.0|right|39.0|indoors|20200215
Cherbourg challenger|1.31|3.05|Sakharov G.|France|2005|80.0|185.0|right|36.0|Peyrot A.|France|2012|||right|29.0|indoors|20200215
Cherbourg challenger|2.00|1.72|Cornut Chauvinc A.|France|2016|||right|24.0|Bellier A.|Switzerland|2013|80.0|196.0|left|27.0|indoors|20200215
Cherbourg challenger|1.67|1.98|Estevez M.|Argentina|2006|||left|35.0|Roberts J.|Bahamas|2013|85.0|183.0|right|27.0|indoors|20200215
Cherbourg challenger|1.59|2.20|Reis Da Silva J.|Brazil|2015|75.0|175.0|right|24.0|Petit G.|France|2014|78.0|180.0|right|29.0|indoors|20200215
Cherbourg challenger|1.44|2.62|Marozsan F.|Hungary|2016|||right|24.0|Galoppini D.|Italy|2012|68.0|175.0|right|29.0|indoors|20200215
