Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Kusuhara Y.|JPN|Right-Handed|1.4|Matsumura R.|JPN|Right-Handed|2.63|0.0|-8.0|37.5|8.5|1.0|0.0|-1.23
clay|Birrell C.|AUS|Right-Handed|1.0|Young-Mathers S.|AUS|Right-Handed|17.0|0.0|6.0|37.5|-0.5|1.0|4.0|-16.0
clay|Voisin A.|AUS|Right-Handed|3.23|Roberts H.|AUS|Right-Handed|1.29|1.0||-37.5|0.5|-1.0|7.0|1.94
hard|Jubb P.|FRA|Right-Handed|1.05|Xiao L.|CHN|Right-Handed|8.71|0.0|2.0|37.5|-9.0|-3.0|0.0|-7.660000000000001
clay|Petrovic D.|FRA|Right-Handed|1.91|Bogo E.|BRA|Right-Handed|1.75|0.0|-8.0|251.5|-0.5|1.0|-8.0|0.15999999999999992
clay|Fedorov T.|BLR|Right-Handed|1.29|Duran C.|TUR|Right-Handed|3.23|0.0|0.0|37.5|-0.5|1.0|0.0|-1.94
hard|Maloney P.|FRA|Right-Handed|1.86|Neff A.|AUS|Right-Handed|1.87|0.0|0.0|37.5|-0.5|1.0|1.0|-0.010000000000000009
hard|Tomic B.|AUS|Right-Handed|1.79|Braswell M.|AUS|Right-Handed|1.94|0.0|10.0|34.5|13.0|13.0|9.0|-0.1499999999999999
clay|Brown A.|AUS|Left-Handed|3.23|Garcia A.|ESP|Right-Handed|1.29|1.0||25.5|13.5|14.0|3.0|1.94
clay|Hess S.|ARG|Right-Handed|1.14|Galera T.|ARG|Right-Handed|4.61|0.0|5.0|37.5|-0.5|1.0|3.0|-3.4700000000000006
clay|Adabjou A.|IRN|Right-Handed|8.0|Shrolik I.|RUS|Right-Handed|1.02|1.0||-37.5|0.5|-1.0|1.0|6.98
clay|Goldberg Alviani N.|ESP|Right-Handed|2.96|Zuckerman A.|FRA|Right-Handed|1.34|1.0||-37.5|0.5|-1.0|-2.0|1.6199999999999999
clay|Thomson M.|AUS|Right-Handed|4.61|Loureiro J.|BRA|Right-Handed|1.14|1.0||-37.5|0.5|-1.0|3.0|3.4700000000000006
clay|Cardinaud H.|FRA|Right-Handed|1.29|Kypriotis E.|GRC|Right-Handed|3.23|0.0|-2.0|37.5|-0.5|1.0|0.0|-1.94
clay|Berger A.|FRA|Right-Handed|2.24|Lorusso L.|ITA|Right-Handed|1.55|0.0|-3.0|37.5|-0.5|1.0|2.0|0.6900000000000002
clay|Vojinovic L.|SRB|Right-Handed|2.17|Meduri A.|ITA|Right-Handed|1.58|1.0||-37.5|0.5|-1.0|3.0|0.5899999999999999
clay|Dumitrescu A.|ROU|Right-Handed|7.25|Desousa J.|NLD|Right-Handed|1.05|1.0||-37.5|0.5|-1.0|-2.0|6.2
hard|Fancutt T.|AUS|Right-Handed|3.29|Van Wyk K.|FRA|Right-Handed|1.3|1.0||-203.0|0.5|-1.0|2.0|1.99
clay|Munar J.|ESP|Right-Handed|1.4|Passaro F.|ITA|Right-Handed|2.79|1.0||106.0|-1.5|-1.0|4.0|-1.3900000000000001
clay|Corsaro G.|ITA|Right-Handed|1.91|Perez Martin I.|ESP|Right-Handed|1.75|0.0|-1.0|37.5|-0.5|1.0|1.0|0.15999999999999992
clay|Nakanishi S.|JPN|Right-Handed|3.69|Nakagawa S.|JPN|Right-Handed|1.22|1.0||-37.5|0.5|-1.0|4.0|2.4699999999999998
clay|Helguera Casado L.|ESP|Right-Handed|1.75|Tyler J.|FRA|Right-Handed|1.91|1.0||-37.5|0.5|-1.0|-3.0|-0.15999999999999992
clay|Bouchelaghem C.|FRA|Right-Handed|1.55|Oumaouche R.|FRA|Left-Handed|2.2|1.0||-37.5|0.5|-1.0|-7.0|-0.6500000000000001
clay|Covato M.|ITA|Right-Handed|1.59|Vedovelli S.|ITA|Right-Handed|2.17|1.0||-37.5|0.5|-1.0|0.0|-0.5799999999999998
clay|Forcano I.|ESP|Right-Handed|1.29|Casso A.|MEX|Right-Handed|3.23|0.0|1.0|37.5|-0.5|1.0|1.0|-1.94
indoors|Basilashvili N.|GEO|Right-Handed|1.08|Reco A.|FRA|Right-Handed|6.95|0.0|8.0|262.5|1.0|2.0|7.0|-5.87
clay|Oumaouche R.|FRA|Left-Handed|2.2|Bouchelaghem C.|FRA|Right-Handed|1.55|0.0|5.0|37.5|-0.5|1.0|7.0|0.6500000000000001
clay|Nakamura R.|JPN|Right-Handed|1.35|Allen L.|AUS|Right-Handed|2.85|0.0|10.0|37.5|-0.5|1.0|5.0|-1.5
indoors|Reco A.|FRA|Right-Handed|6.95|Basilashvili N.|GEO|Right-Handed|1.08|1.0||-262.5|-1.0|-2.0|-7.0|5.87
clay|Christiansen R.|DEU|Right-Handed|1.29|Jurajda A.|CZE|Right-Handed|3.23|0.0|2.0|37.5|-0.5|1.0|2.0|-1.94
clay|Galera T.|ARG|Right-Handed|4.61|Hess S.|ARG|Right-Handed|1.14|1.0||-37.5|0.5|-1.0|-3.0|3.4700000000000006
clay|Freire Da Silva A.|FRA|Right-Handed|2.2|Brosset S.|FRA|Left-Handed|1.57|1.0||-37.5|0.5|-1.0|-1.0|0.6300000000000001
