Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Rotterdam|2.15|1.69|Barrere G.|France|2009|80.0|183.0|right|30.0|Goffin D.|Belgium|2006|70.0|180.0|right|33.0|indoors|20230213
Rotterdam|1.77|2.04|Wawrinka S.|Switzerland|2001|79.0|182.0|right|39.0|Bublik A.|Kazakhstan|2011|77.0|198.0|right|27.0|indoors|20230213
Rotterdam|1.35|3.18|Dimitrov G.|Bulgaria|2007|81.0|191.0|right|33.0|Karatsev A.|Russia|2009|85.0|185.0|right|30.0|indoors|20230213
Rotterdam|2.76|1.44|Gasquet R.|France|2002|79.0|183.0|right|38.0|Carreno-Busta P.|Spain|2006|78.0|188.0|right|33.0|indoors|20230213
Delray Beach|1.38|3.02|Borges N.|Portugal|2012|75.0|185.0|right|27.0|Johnson S.|USA|2005|86.0|188.0|right|34.0|hard|20230213
Delray Beach|1.91|1.89|Gomez E.|Ecuador|2006|81.0|185.0|right|32.0|Wu T.|ChineseTaipei|2013|81.0|188.0|right|26.0|hard|20230213
Delray Beach|2.34|1.59|Kudla D.|USA|2008|79.0|180.0|right|32.0|Thompson J.|Australia|2010|82.0|183.0|right|30.0|hard|20230213
Buenos Aires|1.34|3.25|Djere L.|Serbia|2011|82.0|188.0|right|29.0|Fognini F.|Italy|2002|79.0|178.0|right|37.0|clay|20230213
Buenos Aires|2.11|1.72|Cachin P.|Argentina|2011|77.0|185.0|right|29.0|Monteiro T.|Brazil|2008|78.0|183.0|left|30.0|clay|20230213
Buenos Aires|1.85|1.95|Zapata Miralles B.|Spain|2012|82.0|183.0|right|27.0|Martinez P.|Spain|2012|76.0|185.0|right|27.0|clay|20230213
Manama challenger|3.12|1.34|Kopriva V.|CzechRepublic|2015|69.0|178.0|right|27.0|Kotov P.|Russia|2015|86.0|191.0|right|25.0|hard|20230213
Manama challenger|1.68|2.11|Gengel M.|CzechRepublic|2014|80.0|185.0|right|28.0|Jianu F.|Romania|2016|70.0|180.0|right|22.0|hard|20230213
Manama challenger|1.14|5.24|O'Connell C.|Australia|2011|78.0|183.0|right|30.0|Neuchrist M.|Austria|2009|||right|33.0|hard|20230213
Chennai challenger|1.17|4.83|Cazaux A.|France|2019|||right|21.0|Ly N.|VietNam|2012|69.0|175.0|right|27.0|hard|20230213
Chennai challenger|1.43|2.74|Tseng C.|ChineseTaipei|2015|65.0|175.0|right|23.0|Serdarusic N.|Croatia|2011|85.0|191.0|right|27.0|hard|20230213
Chennai challenger|1.69|2.10|Moreno De Alboran N.|USA|2013|82.0|185.0|right|27.0|Silva F.|Portugal|2010|74.0|178.0|left|29.0|hard|20230213
Chennai challenger|2.28|1.58|Uchiyama Y.|Japan|2007|78.0|183.0|right|32.0|Polmans M.|Australia|2011|78.0|188.0|right|27.0|hard|20230213
Chennai challenger|2.37|1.55|Hong S.|SouthKorea|2012|65.0|175.0|right|27.0|Ofner S.|Austria|2012|81.0|191.0|right|28.0|hard|20230213
Cherbourg challenger|1.62|2.21|Blancaneaux G.|France|2014|75.0|180.0|right|26.0|Collignon R.|Belgium|2020|||right|22.0|indoors|20230213
Cherbourg challenger|2.03|1.74|de Schepper K.|France|2004|100.0|203.0|left|37.0|Ritschard A.|Switzerland|2009|82.0|193.0|right|30.0|indoors|20230213
Cherbourg challenger|1.57|2.25|Geerts M.|Belgium|2013|73.0|178.0|right|29.0|Gakhov I.|Russia|2011|80.0|191.0|left|27.0|indoors|20230213
Cherbourg challenger|2.18|1.64|Bellier A.|Switzerland|2013|80.0|196.0|left|27.0|Celikbilek A.|Turkey|2012|72.0|185.0|right|27.0|indoors|20230213
UTR Pro Tennis Series 5|1.18|3.90|Sodan I.|Croatia|2020|||right||Ostajewski J.|USA|2022|||right||Varioussurfaces|20230213
UTR Pro Tennis Series 5|1.06|6.50|Makhlouf M.|Algeria|2011|||right|28.0|Katic N.|Denmark|2013|||right|26.0|Varioussurfaces|20230213
UTR Pro Tennis Series 5|2.30|1.50|Barot M.|USA|2023|||right|19.0|Podorozhnyi A.|Ukraine|2021|||right||Varioussurfaces|20230213
UTR Pro Tennis Series 5|2.10|1.62|Chepik A.|Russia|2012|||right|28.0|Turchi A.|France|2020|||right||Varioussurfaces|20230213
UTR Pro Tennis Series 5|1.48|2.40|Shalmi C.|Denmark|2023|||right|19|Luca A.|Romania|2020|||right|22.0|Varioussurfaces|20230213
UTR Pro Tennis Series 5|1.08|5.75|Korsgaard H.|Denmark|2013|||right|28.0|Mikkelsen F.|Denmark|2021|||right||Varioussurfaces|20230213
UTR Pro Tennis Series 5|1.29|3.10|Dudun I.|Ukraine|2014|||right|25.0|Zvech Flaborea Mreule M.|Italy|2021|||right||Varioussurfaces|20230213
Chennai challenger|1.46|2.56|Kachmazov A.|Russia|2018|||right|22.0|Orlov V.|Ukraine|2014|77.0|185.0|right|29.0|hard|20230213
Chennai challenger|2.75|1.40|Nouza P.|CzechRepublic|2015|86.0|193.0|right|25.0|Paulson A.|CzechRepublic|2018|||right|22.0|hard|20230213
Chennai challenger|2.02|1.72|Sanchez Jover C.|Spain|2015|||left|24.0|Lock B.|Zimbabwe|2008|86.0|198.0|right|31.0|hard|20230213
Chennai challenger|2.85|1.39|Mukund S.|India|2012|78.0|185.0|right|27.0|Jung J.|ChineseTaipei|2005|69.0|180.0|right|35.0|hard|20230213
Chennai challenger|1.55|2.32|Nagal S.|India|2012|69.0|178.0|right|27.0|Nam J.|SouthKorea|2009|80.0|183.0|right|31.0|hard|20230213
Chennai challenger|1.24|3.80|McCabe J.|Australia|2020|||right|21.0|Singh D.|India|2015|||right|24.0|hard|20230213
Cherbourg challenger|2.17|1.64|Friberg K.|Sweden|2014|91.0|185.0|right|25.0|Ghibaudo A.|France|2020|||right|19.0|indoors|20230213
Cherbourg challenger|1.43|2.62|Onclin G.|Belgium|2016|||right|23.0|Martineau M.|France|2014|76.0|183.0|right|25.0|indoors|20230213
Cherbourg challenger|2.11|1.66|Droguet T.|France|2017|||right|23.0|Mensik J.|CzechRepublic|2020|||right|18.0|indoors|20230213
Cherbourg challenger|1.72|2.02|Yevseyev D.|Kazakhstan|2009|75.0|189.0|right|31.0|Zhukayev B.|Kazakhstan|2016|||right|23.0|indoors|20230213
Cherbourg challenger|1.72|2.02|Vatutin A.|Russia|2009|69.0|178.0|right|31.0|Bourgue M.|France|2010|83.0|188.0|right|30.0|indoors|20230213
Cherbourg challenger|2.54|1.47|Tatlot J.|France|2011|80.0|180.0|right|28.0|Donskoy E.|Russia|2006|75.0|185.0|right|34.0|indoors|20230213
Cherbourg challenger|1.61|2.14|Maassen G.|USA|2013|||right|29.0|Genier T.|Switzerland|2018|||right|26.0|indoors|20230213
Cherbourg challenger|1.61|2.14|Sakellaridis D.|Greece|2020|||right|18.0|Martinez Arjona S.|Spain|2016|||right|22.0|indoors|20230213
Cherbourg challenger|1.02|9.75|Barreiros Reyes M.|Brazil|2017|||left|23.0|Beltre J.|DominicanRep.|2016|||right|23.0|indoors|20230213
Cherbourg challenger|2.21|1.57|Heaney-Secord C.|USA|2018|||right|32.0|Sharygin E.|USA|2022|||right|17.0|indoors|20230213
Cherbourg challenger|2.21|1.57|Nishiwaki K.|Japan|2014|70.0|178.0|right|29.0|Yu B.|China|2014|||right|25.0|indoors|20230213
Cherbourg challenger|1.00|10.00|March C.|Ecuador|2015|||right|24.0|Cruz J.|DominicanRep.|2022|||right|18.0|indoors|20230213
Cherbourg challenger|2.05|1.63|Jones A.|USA|2016|||right||Muller C.|USA|2022|||right||indoors|20230213
Cherbourg challenger|1.23|3.75|Ostapenkov D.|Belarus|2020|||right|21.0|Darras M.|France|2015|||right|25.0|indoors|20230213
Cherbourg challenger|1.01|9.00|Brown P.|USA|2017|||left|23.0|Segarelli E.|Italy|2014|84.0|185.0|right|27.0|indoors|20230213
Cherbourg challenger|4.17|1.19|Rusher A.|USA|2021|||right||Ciocanu A.|Canada|2017|||right|26.0|indoors|20230213
Cherbourg challenger|1.28|3.28|Tumasonis G.|Brazil|2012|||left|28.0|Koistila larsson K.|Sweden|2022|||right|25.0|indoors|20230213
Cherbourg challenger|2.05|1.65|Gaillard M.|France|2022|||right|22.0|Cui J.|China|2015|72.0|183.0|right|26.0|indoors|20230213
Cherbourg challenger|2.05|1.65|Picchione A.|Italy|2017|||right|26.0|Castagnola L.|Italy|2019|72.0|183.0|right|22.0|indoors|20230213
Cherbourg challenger|1.60|2.05|Brumm J.|USA|2013|||right|25.0|Wang C.|China|2015|64.0|173.0|right|25.0|indoors|20230213
Cherbourg challenger|1.30|3.00|Aguilar J.|Canada|2015|60.0|168.0|right|25.0|Alarcon B.|Argentina|2017|||right|24.0|indoors|20230213
Cherbourg challenger|1.45|2.40|Bouquet L.|France|2012|||right|27.0|Rehman H.|Pakistan|2019|||right||indoors|20230213
Cherbourg challenger|1.30|3.00|Hoyos A.|Colombia|2015|79.0|180.0|right|24.0|Heng N.|USA|2021|||right|20.0|indoors|20230213
Cherbourg challenger|2.05|1.60|Daryabeigi S.|USA|2022|||right||Ambrogi L.|Argentina|2019|||right|20.0|indoors|20230213
Cherbourg challenger|1.80|1.80|Dickerson R.|USA|2019|||right|27.0|Wood W.|USA|2011|||right|31.0|indoors|20230213
Cherbourg challenger|2.80|1.33|Strode E.|USA|2021|||left|22.0|Ogura K.|Japan|2016|68.0|170.0|right|28.0|indoors|20230213
Cherbourg challenger|3.60|1.20|Lakoseljac C.|Canada|2015|||right|25.0|Strode I.|USA|2014|75.0|183.0|right|26.0|indoors|20230213
Cherbourg challenger|3.60|1.20|Naw H.|Syria|2015|||right|24.0|Ho R.|ChineseTaipei|2016|||left|24.0|indoors|20230213
