Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Monte Carlo|1.20|4.61|Tsitsipas S.|Greece|2013|89.0|193.0|right|26.0|Davidovich Fokina A.|Spain|2014|80.0|183.0|right|25.0|clay|20220417
Sarasota challenger|1.78|1.98|Galan D.|Colombia|2011|72.0|191.0|right|28.0|Johnson S.|USA|2005|86.0|188.0|right|34.0|clay|20220417
San Luis Potosi chall.|2.73|1.43|Bellier A.|Switzerland|2013|80.0|196.0|left|27.0|Olivo R.|Argentina|2007|73.0|180.0|right|32.0|clay|20220417
San Luis Potosi chall.|3.14|1.34|Olivo R.|Argentina|2007|73.0|180.0|right|32.0|Jarry N.|Chile|2012|90.0|198.0|right|28.0|clay|20220417
Barletta challenger|1.24|3.81|Borges N.|Portugal|2012|75.0|185.0|right|27.0|Zekic M.|Serbia|2003|79.0|185.0|right|36.0|clay|20220417
Madrid challenger|1.55|2.35|Cachin P.|Argentina|2011|77.0|185.0|right|29.0|Trungelliti M.|Argentina|2006|78.0|178.0|right|34.0|clay|20220417
Madrid challenger|2.37|1.52|Moriya H.|Japan|2007|65.0|168.0|right|33.0|Escoffier A.|France|2008|78.0|185.0|right|32.0|clay|20220417
Madrid challenger|1.66|2.09|Bangoura S.|USA|2008|77.0|183.0|right|32.0|Zhu E.|USA|2014|70.0|185.0|right|26.0|clay|20220417
Madrid challenger|1.97|1.74|Bellucci M.|Italy|2018|||left|23.0|Neuchrist M.|Austria|2009|||right|33.0|clay|20220417
Madrid challenger|3.30|1.26|Aboian V.|Argentina|2018|||left|22.0|Cretu C.|Romania|2016|||right|23.0|clay|20220417
Madrid challenger|1.84|1.85|Erhard M.|France|2016|80.0|188.0|right|22.0|Snitari I.|Moldavsko|2020|||right|22.0|clay|20220417
Madrid challenger|1.67|2.08|Hong S.|SouthKorea|2012|65.0|175.0|right|27.0|Ly N.|VietNam|2012|69.0|175.0|right|27.0|clay|20220417
Aguascalientes challenger|1.38|2.83|Quiroz R.|Ecuador|2006|88.0|193.0|left|32.0|Safwat M.|Egypt|2007|83.0|180.0|right|33.0|clay|20220417
Aguascalientes challenger|1.88|1.84|Menendez-Maceiras A.|Spain|2002|75.0|183.0|right|38.0|Paul J.|Switzerland|2016|||right|25.0|clay|20220417
Aguascalientes challenger|1.89|1.79|Krstin P.|Serbia|2011|80.0|183.0|right|29.0|Alves M.|Brazil|2015|||right|23.0|clay|20220417
Aguascalientes challenger|1.03|10.48|Aragone J.|USA|2011|79.0|178.0|right|29.0|Bravo E.|Mexico|2022|||right||clay|20220417
