Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Vesely J.|CZE|Left-Handed|Krumich M.|CZE|Right-Handed|0.0|9.0|513.0|17.0|14.0|10.0|-8.2
clay|Langmo C.|CZE|Right-Handed|Brymer G.|CZE|Right-Handed|0.0|0.0|2.0|14.0|6.0|-1.0|-1.0
clay|Choinski J.|CZE|Right-Handed|Hassan B.|LBN|Right-Handed|0.0|1.0|-147.0|-5.0|13.0|-1.0|-0.08999999999999986
hard|Oliel Y.|ISR|Left-Handed|Leshem E.|ISR|Right-Handed|0.0|-3.0|-61.0|8.0|5.0|-3.0|0.24
indoors|McHugh A.|CZE|Right-Handed|Patten H.|CZE|Right-Handed|0.0|3.0|2.0|-21.0|-20.0|-4.0|-1.3400000000000003
hard|Hemery C.|FRA|Right-Handed|Avidzba A.|RUS|Right-Handed|1.0||371.0|7.0|3.0|5.0|-1.1199999999999999
hard|Borges N.|PRT|Right-Handed|Elias G.|PRT|Right-Handed|0.0|-6.0|-308.0|-1.0|2.0|-6.0|-1.5599999999999998
hard|Avidzba A.|RUS|Right-Handed|Hemery C.|FRA|Right-Handed|0.0|-3.0|-371.0|-7.0|-3.0|-5.0|1.1199999999999999
clay|Molcan A.|SVK|Left-Handed|Liska T.|SVK|Right-Handed|0.0|1.0|-102.0|1.0|3.0|0.0|-5.71
clay|Kalina V.|CZE|Right-Handed|Svrcina D.|CZE|Right-Handed|1.0||-2.0|9.0|6.0|-2.0|6.51
Varioussurfaces|Sadecky A.|CHE|Left-Handed|Gloor H.|CHE|Right-Handed|0.0|14.0|-154.0|3.0|9.0|10.0|-2.4
clay|Kolar Z.|CZE|Right-Handed|Vrbensky M.|CZE|Right-Handed|0.0|3.0|108.0|11.0|5.0|3.0|-0.32000000000000006
hard|Delaney J.|AUS|Right-Handed|Smith J.|AUS|Right-Handed|0.0|7.0|2.0|3.0|4.0|0.0|-0.32999999999999985
indoors|Jubb P.|CZE|Right-Handed|Gray A.|CZE|Right-Handed|0.0|0.0|-220.0|-4.0|-8.0|-2.0|-0.71
clay|Arconada J.|CZE|Right-Handed|Popko D.|KAZ|Right-Handed|1.0||-114.0|-13.0|-11.0|1.0|0.3600000000000001
clay|Minarik K.|SVK|Right-Handed|Gombos N.|SVK|Right-Handed|1.0||-318.0|-8.0|-9.0|-11.0|8.31
clay|Pokorny L.|SVK|Right-Handed|Martin A.|SVK|Right-Handed|1.0||-382.0|-6.0|1.0|-12.0|4.43
indoors|Canter A.|CZE|Right-Handed|Fery A.|CZE|Right-Handed|1.0||129.0|-1.0|-4.0|4.0|4.71
hard|Mansouri S.|TUN|Right-Handed|Roumane R.|DZA|Right-Handed|1.0||105.0|8.0|5.0|6.0|0.5899999999999999
clay|Kodat T.|CZE|Right-Handed|Horak V.|CZE|Right-Handed|0.0|-1.0|2.0|-4.0|-6.0|-1.0|-2.5599999999999996
clay|Horansky F.|SVK|Right-Handed|Klein L.|SVK|Right-Handed|1.0||110.0|-8.0|-2.0|5.0|0.5700000000000003
hard|Cacao T.|PRT|Right-Handed|Vale D.|PRT|Right-Handed|0.0|1.0|2.0|8.0|2.0|1.0|0.6000000000000001
hard|Metz D.|CZE|Right-Handed|Carnevale-Miino T.|ITA|Right-Handed|1.0||-2.0|-1.0|-4.0|4.0|5.390000000000001
Varioussurfaces|Schaer J.|CHE|Right-Handed|Kuster J.|CHE|Right-Handed|0.0|-2.0|2.0|1.0|4.0|-6.0|-2.4
Varioussurfaces|Zimmermann I.|CHE|Right-Handed|Fischer P.|CHE|Right-Handed|0.0|-16.0|2.0|1.0|4.0|-12.0|-2.4
indoors|Storrie R.|CZE|Right-Handed|Whitehouse M.|CZE|Right-Handed|1.0||-2.0|-3.0|-4.0|-5.0|1.86
clay|Langmajer D.|CZE|Right-Handed|Petr V.|CZE|Right-Handed|1.0||-2.0|-1.0|-4.0|6.0|1.4300000000000002
clay|Thiem D.|AUT|Right-Handed|Bautista-Agut R.|ESP|Right-Handed|0.0|-8.0|6798.0|4.0|2.0|-5.0|-2.4
clay|Hassan B.|LBN|Right-Handed|Choinski J.|CZE|Right-Handed|1.0||147.0|5.0|-13.0|1.0|0.08999999999999986
clay|Carballes Baena R.|ESP|Right-Handed|Munar J.|ESP|Right-Handed|0.0|3.0|66.0|1.0|0.0|4.0|0.18999999999999995
indoors|Harris B.|CZE|Right-Handed|Martin T.|CZE|Right-Handed|0.0|-3.0|2.0|8.0|3.0|-2.0|-3.6
clay|Karatsev A.|RUS|Right-Handed|Tabilo A.|CHL|Left-Handed|1.0||-43.0|10.0|-3.0|3.0|1.7999999999999998
hard|Carnevale-Miino T.|ITA|Right-Handed|Metz D.|CZE|Right-Handed|0.0|2.0|2.0|1.0|4.0|-4.0|-5.390000000000001
clay|Masur D.|DEU|Right-Handed|Stebe C.|DEU|Left-Handed|1.0||-122.0|8.0|0.0|-4.0|1.81
Varioussurfaces|Gloor H.|CHE|Right-Handed|Sadecky A.|CHE|Left-Handed|1.0||154.0|-3.0|-9.0|-10.0|2.4
hard|Denolly C.|FRA|Left-Handed|Herbert P.|FRA|Right-Handed|1.0||-2.0|2.0|-3.0|-6.0|2.3600000000000003
clay|Puetz T.|DEU|Right-Handed|Vishnick D.|CZE|Right-Handed|0.0|14.0|28.0|0.0|1.0|11.0|-11.73
clay|Horak V.|CZE|Right-Handed|Kodat T.|CZE|Right-Handed|1.0||-2.0|4.0|6.0|1.0|2.5599999999999996
indoors|Hands T.|CZE|Right-Handed|Willis M.|CZE|Left-Handed|0.0|-12.0|223.0|-13.0|-3.0|-6.0|0.050000000000000044
clay|Konecny M.|CZE|Left-Handed|Barnat J.|CZE|Right-Handed|1.0||-2.0|0.0|-5.0|11.0|-1.39
hard|Faivre P.|FRA|Right-Handed|Halys Q.|FRA|Right-Handed|1.0||25.0|-1.0|-7.0|1.0|4.81
Varioussurfaces|Fetov I.|CHE|Right-Handed|Huesler M.|CHE|Left-Handed|1.0||-2.0|-11.0|-12.0|8.0|2.4
indoors|Willis M.|CZE|Left-Handed|Hands T.|CZE|Right-Handed|1.0||-223.0|13.0|3.0|6.0|-0.050000000000000044
clay|Vishnick D.|CZE|Right-Handed|Puetz T.|DEU|Right-Handed|1.0||-28.0|0.0|-1.0|-11.0|11.73
indoors|Glasspool L.|CZE|Right-Handed|Johnson L.|CZE|Right-Handed|1.0||-2.0|2.0|8.0|0.0|-0.21999999999999997
clay|Tabilo A.|CHL|Left-Handed|Karatsev A.|RUS|Right-Handed|0.0|-4.0|43.0|-10.0|3.0|-3.0|-1.7999999999999998
hard|Murillo S.|CZE|Right-Handed|Lomakin G.|KAZ|Right-Handed|1.0||-2.0|-1.0|-14.0|-1.0|1.46
indoors|Patten H.|CZE|Right-Handed|McHugh A.|CZE|Right-Handed|1.0||-2.0|21.0|20.0|4.0|1.3400000000000003
indoors|Norrie C.|CZE|Left-Handed|Recci M.|CZE|Right-Handed|0.0|0.0|625.0|5.0|4.0|1.0|-9.97
hard|Murillo S.|CZE|Right-Handed|Ore J.|CZE|Left-Handed|1.0||-2.0|-1.0|-4.0|-7.0|5.66
