Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Bondarevskiy Y.|RUS|Left-Handed|Mager G.|ITA|Right-Handed|1.0||-347.0|-6.0|3.0|-5.0|-0.2999999999999998
Varioussurfaces|Gupta A.|ESP|Right-Handed|Bellegy A.|FRA|Right-Handed|1.0||28.5|1.5|0.0|-1.0|-2.61
clay|Barrios Vera M.|CHL|Right-Handed|Ritschard A.|CHE|Right-Handed|1.0||305.0|6.0|-2.0|-4.0|0.22999999999999998
Varioussurfaces|Dzhurinskiy T.|ESP|Right-Handed|Thompson W.|ITA|Right-Handed|1.0||28.5|1.5|0.0|3.0|0.7899999999999998
Varioussurfaces|Bailey A.|ITA|Right-Handed|Aney A.|ESP|Right-Handed|0.0|5.0|-28.5|-1.5|0.0|-1.0|0.33000000000000007
Varioussurfaces|Papac T.|AUS|Right-Handed|Moceanu N.|ESP|Right-Handed|0.0|3.0|-28.5|-4.0|3.0|4.0|1.15
clay|Cobolli F.|ITA|Right-Handed|Passaro F.|ITA|Right-Handed|0.0|0.0|301.0|-1.5|0.0|-1.0|-0.9900000000000002
Varioussurfaces|Sanchez M.|MEX|Right-Handed|Rivera H.|ITA|Right-Handed|1.0||-529.5|1.5|0.0|9.0|0.21999999999999997
clay|Alcala Gurri M.|ESP|Right-Handed|Jacquet K.|FRA|Right-Handed|1.0||28.5|13.5|10.0|-2.0|1.76
clay|Zeppieri G.|ITA|Left-Handed|Hurkacz H.|POL|Right-Handed|1.0||-2835.0|-3.0|-11.0|-5.0|4.9
clay|Passaro F.|ITA|Right-Handed|Cobolli F.|ITA|Right-Handed|1.0||-301.0|1.5|0.0|1.0|0.9900000000000002
clay|Bertran P.|ITA|Right-Handed|Mbithi M.|ESP|Right-Handed|0.0|0.0|-28.5|2.0|-15.0|2.0|-0.6400000000000001
Varioussurfaces|Del Castillo P.|ESP|Right-Handed|Bramajo S.|ARG|Right-Handed|1.0||28.5|1.5|0.0|2.0|1.22
clay|Sadaoui M.|FRA|Right-Handed|Benguergoura R.|DZA|Right-Handed|0.0|3.0|-28.5|-1.5|0.0|0.0|-7.92
Varioussurfaces|Kravchenko G.|UKR|Right-Handed|Brunclik P.|CZE|Left-Handed|1.0||28.5|-14.0|-5.0|6.0|-6.0
clay|Vatutin A.|RUS|Right-Handed|Lopez Montagud C.|ESP|Right-Handed|0.0|6.0|-352.0|-9.5|-7.0|7.0|-0.31000000000000005
Varioussurfaces|Miklavcic L.|SVN|Right-Handed|Bakovic D.|ESP|Right-Handed|0.0|5.0|-28.5|-1.5|0.0|4.0|-8.8
Varioussurfaces|Evans T.|AUS|Right-Handed|Vaccari S.|ITA|Right-Handed|0.0|5.0|-28.5|-8.5|-5.0|1.0|0.0
clay|Kyratzis S.|CYP|Left-Handed|Thanos A.|GRC|Right-Handed|1.0||28.5|1.5|0.0|6.0|2.25
Varioussurfaces|Valencia Navech T.|CHL|Right-Handed|Suarez Berrezueta O.|ECU|Right-Handed|1.0||28.5|1.5|0.0|-3.0|2.39
Varioussurfaces|Ward E.|ESP|Right-Handed|Evans G.|ITA|Right-Handed|1.0||28.5|7.0|-2.0|1.0|3.4699999999999998
Varioussurfaces|Saritas G.|TUR|Right-Handed|De Jager J.|NLD|Right-Handed|1.0||28.5|1.5|0.0|-3.0|4.75
Varioussurfaces|Prachar J.|CZE|Right-Handed|Recek D.|CZE|Right-Handed|0.0|-9.0|-28.5|-1.5|0.0|-5.0|2.9000000000000004
clay|Zink T.|ESP|Right-Handed|Baadi T.|CAN|Right-Handed|1.0||28.5|5.5|2.0|0.0|0.20999999999999996
Varioussurfaces|Kalender A.|HRV|Right-Handed|Nedic A.|ITA|Right-Handed|1.0||28.5|1.5|0.0|4.0|-0.7599999999999998
clay|Scaglia M.|FRA|Right-Handed|Tepmahc N.|FRA|Right-Handed|1.0||28.5|1.5|0.0|2.0|-0.8500000000000001
Varioussurfaces|Amar R.|ISR|Right-Handed|Goldenberg L.|ISR|Right-Handed|0.0|0.0|-28.5|-1.5|0.0|1.0|0.6600000000000001
clay|Carreno-Busta P.|ESP|Right-Handed|Simon G.|FRA|Right-Handed|1.0||488.0|8.0|5.0|-6.0|-12.64
clay|Droguet T.|FRA|Right-Handed|Vanshelboim E.|UKR|Right-Handed|1.0||28.5|-7.5|-3.0|0.0|-1.98
Varioussurfaces|Fernandez Flores D.|CHL|Right-Handed|Cekirge K.|TUR|Right-Handed|1.0||28.5|1.5|0.0|-1.0|0.41000000000000014
clay|Comesana F.|ARG|Right-Handed|Popko D.|KAZ|Right-Handed|0.0|-6.0|208.5|-10.0|-6.0|-4.0|0.6600000000000001
Varioussurfaces|Ambrogi L.|ARG|Right-Handed|Ortiz Gamonal D.|CHL|Right-Handed|0.0|2.0|-28.5|-1.5|0.0|-5.0|1.5
clay|Arnaboldi A.|ITA|Left-Handed|Seppi A.|ITA|Right-Handed|0.0|-1.0|-368.0|-6.0|-11.0|-4.0|0.2999999999999998
clay|De Vincentis M.|ITA|Left-Handed|Blanch D.|ITA|Right-Handed|1.0||28.5|10.0|3.0|5.0|1.0100000000000002
clay|Tirante T.|ARG|Right-Handed|Chepelev A.|RUS|Left-Handed|1.0||28.5|1.0|0.0|-3.0|-2.54
clay|Mager G.|ITA|Right-Handed|Bondarevskiy Y.|RUS|Left-Handed|0.0|5.0|347.0|6.0|-3.0|5.0|0.2999999999999998
clay|Sorrentino L.|ITA|Right-Handed|Tabacco F.|ITA|Right-Handed|0.0|3.0|-28.5|-1.5|0.0|4.0|-0.4600000000000002
clay|Yamacita F.|BRA|Right-Handed|Clark E.|ITA|Right-Handed|1.0||28.5|12.0|15.0|0.0|3.87
clay|Hassan B.|LBN|Right-Handed|Lenz J.|DEU|Right-Handed|1.0||438.0|3.0|-5.0|-2.0|-1.06
Varioussurfaces|Postolka R.|CZE|Right-Handed|Filip J.|CZE|Right-Handed|1.0||28.5|1.5|0.0|7.0|-1.88
clay|Michalski D.|POL|Right-Handed|Safiullin R.|RUS|Right-Handed|1.0||186.0|2.0|-5.0|-3.0|0.8499999999999999
Varioussurfaces|Weintraub B.|ISR|Right-Handed|Shimanov O.|ISR|Right-Handed|1.0||28.5|1.5|0.0|2.0|-1.4899999999999998
Varioussurfaces|Castagnola L.|ITA|Right-Handed|Obradovic D.|SRB|Right-Handed|1.0||28.5|-5.0|-2.0|-1.0|0.42000000000000015
clay|Lenz J.|DEU|Right-Handed|Hassan B.|LBN|Right-Handed|0.0|4.0|-438.0|-3.0|5.0|2.0|1.06
clay|Klein L.|SVK|Right-Handed|Mena F.|ARG|Right-Handed|0.0|-6.0|-118.0|7.0|10.0|-5.0|-0.6599999999999999
clay|Gregoriou G.|GRC|Right-Handed|Hamza Reguig S.|DZA|Right-Handed|1.0||28.5|1.5|0.0|9.0|8.200000000000001
clay|Seppi A.|ITA|Right-Handed|Arnaboldi A.|ITA|Left-Handed|1.0||368.0|6.0|11.0|4.0|-0.2999999999999998
clay|Benguergoura R.|DZA|Right-Handed|Sadaoui M.|FRA|Right-Handed|1.0||28.5|1.5|0.0|0.0|7.92
clay|Chepelev A.|RUS|Left-Handed|Tirante T.|ARG|Right-Handed|0.0|1.0|-28.5|-1.0|0.0|3.0|2.54
clay|Fabbiano T.|ITA|Right-Handed|Zuk K.|POL|Right-Handed|0.0|12.0|-43.0|-8.0|-10.0|10.0|0.3699999999999999
clay|Koenig L.|ESP|Right-Handed|Montsi K.|ITA|Right-Handed|1.0||28.5|1.5|0.0|0.0|2.0599999999999996
clay|Krumich M.|CZE|Right-Handed|Siniakov D.|CZE|Right-Handed|0.0|1.0|-28.5|-1.5|0.0|0.0|-2.61
clay|Zeballos F.|BOL|Right-Handed|Frances Tessari E.|FRA|Right-Handed|0.0|17.0|-28.5|-3.5|0.0|17.0|4.09
Varioussurfaces|Bramajo S.|ARG|Right-Handed|Del Castillo P.|ESP|Right-Handed|0.0|3.0|-28.5|-1.5|0.0|-2.0|-1.22
Varioussurfaces|Hulme M.|AUS|Right-Handed|Krishna R.|IND|Right-Handed|0.0|5.0|-28.5|-1.5|0.0|4.0|-0.33000000000000007
clay|Damm M.|ITA|Left-Handed|Jurajda A.|CZE|Right-Handed|0.0|2.0|-28.5|-1.5|0.0|-1.0|-4.68
Varioussurfaces|Sureshkumar M.|IND|Right-Handed|Perez Pena M.|ESP|Right-Handed|0.0|4.0|-28.5|-16.5|-2.0|0.0|-2.0300000000000002
clay|Cecchinato M.|ITA|Right-Handed|Andujar P.|ESP|Right-Handed|0.0|-7.0|-181.0|-2.0|5.0|-7.0|0.15999999999999992
clay|Rinderknech A.|FRA|Right-Handed|Bublik A.|KAZ|Right-Handed|1.0||-221.0|9.0|-2.0|2.0|-1.04
clay|Dong B.|CHN|Right-Handed|Wang X.|CHN|Right-Handed|1.0||28.5|1.5|0.0|1.0|5.36
clay|Jacquet K.|FRA|Right-Handed|Alcala Gurri M.|ESP|Right-Handed|0.0|1.0|-28.5|-13.5|-10.0|2.0|-1.76
clay|Kwon S.|KOR|Right-Handed|Rublev A.|RUS|Right-Handed|1.0||-3345.0|2.0|-8.0|0.0|8.77
Varioussurfaces|Goldenberg L.|ISR|Right-Handed|Amar R.|ISR|Right-Handed|1.0||28.5|1.5|0.0|-1.0|-0.6600000000000001
clay|Verdes E.|ROU|Right-Handed|Marinescu M.|ROU|Right-Handed|1.0||28.5|1.5|0.0|-2.0|2.3899999999999997
clay|Marmousez L.|FRA|Right-Handed|Tomic R.|ESP|Right-Handed|0.0|5.0|-28.5|-1.5|0.0|2.0|-6.82
clay|Sousa J.|PRT|Right-Handed|Tseng C.|ESP|Right-Handed|0.0|11.0|306.0|9.0|10.0|12.0|-0.20999999999999996
Varioussurfaces|Osorio J.|COL|Right-Handed|Aguiar Kuntz B.|BRA|Right-Handed|0.0|8.0|-28.5|-1.5|0.0|1.0|-1.67
Varioussurfaces|Gonzalez Fitzmaurice E.|ITA|Right-Handed|Strode E.|ESP|Left-Handed|0.0|2.0|-28.5|-1.5|0.0|-1.0|2.1
clay|Baadi T.|CAN|Right-Handed|Zink T.|ESP|Right-Handed|0.0|2.0|-28.5|-5.5|-2.0|0.0|-0.20999999999999996
clay|Simon G.|FRA|Right-Handed|Carreno-Busta P.|ESP|Right-Handed|0.0|4.0|-488.0|-8.0|-5.0|6.0|12.64
Varioussurfaces|Strode E.|ESP|Left-Handed|Gonzalez Fitzmaurice E.|ITA|Right-Handed|1.0||28.5|1.5|0.0|1.0|-2.1
clay|Mercelina P.|NLD|Right-Handed|Guillen Meza A.|ECU|Right-Handed|1.0||28.5|1.5|0.0|4.0|7.680000000000001
clay|Vasiliauskas M.|LTU|Right-Handed|Matsuda R.|JPN|Right-Handed|1.0||28.5|1.5|0.0|-2.0|5.03
clay|Bonzi B.|FRA|Right-Handed|Tiafoe F.|ITA|Right-Handed|1.0||-628.0|-10.0|-3.0|2.0|0.7899999999999998
Varioussurfaces|Amoyal O.|ISR|Right-Handed|Friedler A.|ISR|Right-Handed|1.0||28.5|1.5|0.0|2.0|2.02
clay|Wang A.|CHN|Right-Handed|Brymer G.|ITA|Right-Handed|1.0||28.5|16.0|6.0|-2.0|7.0200000000000005
clay|Caruso S.|ITA|Right-Handed|Prihodko O.|UKR|Right-Handed|1.0||-113.5|3.0|5.0|5.0|-1.58
clay|Andujar P.|ESP|Right-Handed|Cecchinato M.|ITA|Right-Handed|1.0||181.0|2.0|-5.0|7.0|-0.15999999999999992
clay|Hardt N.|ITA|Right-Handed|Gakhov I.|RUS|Left-Handed|0.0|-3.0|418.5|4.0|-8.0|-4.0|0.6999999999999997
clay|Humbert U.|FRA|Left-Handed|Ruusuvuori E.|FIN|Right-Handed|1.0||124.0|-6.0|0.0|1.0|0.5
clay|Mora Clement R.|ESP|Right-Handed|Martinez M.|CHE|Right-Handed|1.0||28.5|8.5|10.0|-3.0|6.470000000000001
Varioussurfaces|Rodrigues L.|BRA|Right-Handed|Cuellar Lorberg A.|BOL|Right-Handed|1.0||28.5|1.5|0.0|4.0|1.15
Varioussurfaces|Lemstra K.|DEU|Right-Handed|Kountourakis I.|GRC|Right-Handed|1.0||28.5|1.5|0.0|4.0|-0.6200000000000001
clay|Aissa Khelifa M.|DZA|Right-Handed|Dougaz A.|TUN|Left-Handed|1.0||28.5|-1.5|-3.0|-1.0|12.870000000000001
clay|Tsonga J.|FRA|Right-Handed|Ruud C.|NOR|Right-Handed|1.0||-3340.0|16.0|5.0|14.0|16.31
Varioussurfaces|Kruger C.|ITA|Right-Handed|Nakamura R.|JPN|Right-Handed|0.0|-10.0|-28.5|-1.5|0.0|-5.0|2.02
clay|Djere L.|SRB|Right-Handed|Berankis R.|LTU|Right-Handed|0.0|-6.0|311.0|5.0|13.0|-5.0|-5.88
Varioussurfaces|Romano G.|ARG|Right-Handed|Gimenez I.|BRA|Right-Handed|1.0||28.5|1.5|0.0|-2.0|2.5
Varioussurfaces|Samardzic M.|MNE|Right-Handed|Krivokapic A.|MNE|Right-Handed|1.0||28.5|1.5|0.0|1.0|-0.4099999999999999
clay|Rune H.|DNK|Right-Handed|Shapovalov D.|CAN|Left-Handed|0.0|-5.0|-1372.0|-7.0|0.0|-4.0|0.42999999999999994
Varioussurfaces|Cuellar Lorberg A.|BOL|Right-Handed|Rodrigues L.|BRA|Right-Handed|0.0|0.0|-28.5|-1.5|0.0|-4.0|-1.15
clay|Garin C.|CHL|Right-Handed|Paul T.|ESP|Right-Handed|0.0|3.0|-50.0|3.0|0.0|1.0|-0.7299999999999998
clay|Arnaldi M.|ITA|Right-Handed|Moreno De Alboran N.|ESP|Right-Handed|0.0|-5.0|-419.0|-5.0|0.0|-4.0|-1.3399999999999999
clay|Sinner J.|ITA|Right-Handed|Fratangelo B.|ESP|Right-Handed|0.0|-6.0|2878.0|-3.0|5.0|-8.0|-10.069999999999999
Varioussurfaces|Adam-Gedge Z.|AUS|Right-Handed|Papounidis I.|GRC|Right-Handed|1.0||28.5|1.5|0.0|-1.0|4.1
clay|Vesely J.|CZE|Left-Handed|Johnson S.|ITA|Right-Handed|1.0||158.0|8.0|10.0|-3.0|-0.5900000000000001
clay|Li H.|CHN|Right-Handed|Abderrahman W.|TUN|Right-Handed|0.0|0.0|-28.5|-1.5|0.0|-4.0|-7.5200000000000005
Varioussurfaces|Paty D.|CZE|Right-Handed|Cerny M.|CZE|Right-Handed|0.0|3.0|-28.5|-1.5|0.0|2.0|2.05
Varioussurfaces|Brown C.|ITA|Right-Handed|Bullard J.|ESP|Left-Handed|0.0|-4.0|-28.5|-1.5|0.0|-2.0|1.34
clay|Kudriashov I.|RUS|Right-Handed|Strombachs R.|LVA|Right-Handed|1.0||28.5|0.5|-6.0|-4.0|3.16
clay|Sels J.|NLD|Right-Handed|Pucinelli De Almeida M.|BRA|Right-Handed|0.0|7.0|-28.5|4.5|3.0|6.0|0.06999999999999984
clay|Wessels L.|DEU|Right-Handed|Setkic A.|ITA|Right-Handed|1.0||279.0|4.0|7.0|-11.0|-0.29000000000000004
Varioussurfaces|Donarski S.|CAN|Right-Handed|Wunderlich T.|ESP|Right-Handed|0.0|7.0|-28.5|-1.5|0.0|1.0|-2.5
clay|Marinescu M.|ROU|Right-Handed|Verdes E.|ROU|Right-Handed|0.0|4.0|-28.5|-1.5|0.0|2.0|-2.3899999999999997
clay|Martinez M.|CHE|Right-Handed|Mora Clement R.|ESP|Right-Handed|0.0|4.0|-28.5|-8.5|-10.0|3.0|-6.470000000000001
Varioussurfaces|Markovski O.|ITA|Right-Handed|Zugic M.|SRB|Right-Handed|0.0|-2.0|-28.5|-1.5|0.0|1.0|-3.2600000000000007
Varioussurfaces|Filip J.|CZE|Right-Handed|Postolka R.|CZE|Right-Handed|0.0|-6.0|-28.5|-1.5|0.0|-7.0|1.88
Varioussurfaces|Castro C.|CHL|Right-Handed|Gimenez J.|ARG|Right-Handed|1.0||28.5|1.5|0.0|8.0|0.33000000000000007
Varioussurfaces|Nedic A.|ITA|Right-Handed|Kalender A.|HRV|Right-Handed|0.0|-2.0|-28.5|-1.5|0.0|-4.0|0.7599999999999998
clay|Seyboth Wild T.|BRA|Right-Handed|Kuhn N.|DEU|Right-Handed|1.0||236.0|3.0|0.0|0.0|0.29000000000000004
clay|Ehara H.|JPN|Right-Handed|Sau Franco A.|MEX|Right-Handed|1.0||28.5|1.5|0.0|10.0|-2.48
Varioussurfaces|Rivera H.|ITA|Right-Handed|Sanchez M.|MEX|Right-Handed|0.0|-15.0|529.5|-1.5|0.0|-9.0|-0.21999999999999997
clay|Lacko L.|SVK|Right-Handed|Setkic A.|ITA|Right-Handed|1.0||-2.0|1.0|-3.0|0.0|0.9199999999999999
clay|Abderrahman W.|TUN|Right-Handed|Li H.|CHN|Right-Handed|1.0||28.5|1.5|0.0|4.0|7.5200000000000005
Varioussurfaces|Giotis R.|DEU|Right-Handed|Akay C.|AUS|Right-Handed|0.0|-2.0|-28.5|-1.5|0.0|1.0|-0.8900000000000001
Varioussurfaces|Zhang L.|CHN|Right-Handed|Juhas K.|SRB|Right-Handed|1.0||28.5|1.5|0.0|-2.0|5.18
Varioussurfaces|Cabrera Bello I.|ESP|Right-Handed|Bueno Gil A.|ESP|Right-Handed|0.0|-3.0|-28.5|-1.5|0.0|-2.0|-1.7499999999999998
clay|Korda S.|ITA|Right-Handed|Millman J.|AUS|Right-Handed|0.0|-9.0|633.0|-4.0|10.0|-11.0|-5.1000000000000005
Varioussurfaces|Turker M.|TUR|Right-Handed|Yenilmez U.|TUR|Right-Handed|0.0|7.0|-28.5|-1.5|0.0|5.0|-5.4
Varioussurfaces|Micov S.|ITA|Right-Handed|Krstic V.|SRB|Right-Handed|0.0|14.0|-28.5|-1.5|0.0|11.0|-0.47999999999999976
Varioussurfaces|Bielinskyi O.|UKR|Right-Handed|Dimic M.|SVN|Right-Handed|1.0||28.5|3.0|0.0|8.0|-1.02
clay|Guillen Meza A.|ECU|Right-Handed|Mercelina P.|NLD|Right-Handed|0.0|5.0|-28.5|-1.5|0.0|-4.0|-7.680000000000001
Varioussurfaces|Asaba A.|GHA|Right-Handed|Zamora N.|ESP|Right-Handed|0.0|8.0|-28.5|-1.5|0.0|6.0|-0.5900000000000001
Varioussurfaces|Ilnytskyy S.|UKR|Right-Handed|Schlagenhauf N.|DEU|Right-Handed|1.0||28.5|1.5|0.0|2.0|0.5
clay|Dutra da Silva D.|BRA|Left-Handed|Barrientos N.|COL|Right-Handed|0.0|0.0|410.5|2.0|10.0|-1.0|0.010000000000000009
clay|Silva F.|PRT|Left-Handed|Diez S.|CAN|Right-Handed|0.0|-3.0|41.0|-2.0|3.0|-4.0|0.22999999999999998
Varioussurfaces|Perez Pena M.|ESP|Right-Handed|Sureshkumar M.|IND|Right-Handed|1.0||28.5|16.5|2.0|0.0|2.0300000000000002
clay|Zuk K.|POL|Right-Handed|Fabbiano T.|ITA|Right-Handed|1.0||43.0|8.0|10.0|-10.0|-0.3699999999999999
Varioussurfaces|Benes M.|CZE|Right-Handed|Barnat J.|CZE|Right-Handed|1.0||28.5|1.5|0.0|2.0|5.68
clay|Beckley A.|ITA|Right-Handed|Kimhi O.|ISR|Right-Handed|0.0|1.0|-28.5|-1.5|0.0|2.0|0.98
Varioussurfaces|Moceanu N.|ESP|Right-Handed|Papac T.|AUS|Right-Handed|1.0||28.5|4.0|-3.0|-4.0|-1.15
clay|Chazal M.|FRA|Right-Handed|Raicevic D.|MNE|Right-Handed|0.0|13.0|-28.5|-6.5|-10.0|6.0|-8.09
Varioussurfaces|Moreno D.|MEX|Right-Handed|Ross M.|ITA|Right-Handed|1.0||28.5|1.5|0.0|0.0|0.33000000000000007
Varioussurfaces|Aney A.|ESP|Right-Handed|Bailey A.|ITA|Right-Handed|1.0||28.5|1.5|0.0|1.0|-0.33000000000000007
Varioussurfaces|Bakovic D.|ESP|Right-Handed|Miklavcic L.|SVN|Right-Handed|1.0||28.5|1.5|0.0|-4.0|8.8
Varioussurfaces|Evans G.|ITA|Right-Handed|Ward E.|ESP|Right-Handed|0.0|-4.0|-28.5|-7.0|2.0|-1.0|-3.4699999999999998
clay|Mena F.|ARG|Right-Handed|Klein L.|SVK|Right-Handed|1.0||118.0|-7.0|-10.0|5.0|0.6599999999999999
Varioussurfaces|Juhas K.|SRB|Right-Handed|Zhang L.|CHN|Right-Handed|0.0|-1.0|-28.5|-1.5|0.0|2.0|-5.18
Varioussurfaces|Soyler B.|TUR|Right-Handed|Derepasko T.|RUS|Right-Handed|0.0|2.0|-28.5|-1.5|0.0|-1.0|-0.9099999999999999
