Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Rome|2.24|1.64|Travaglia S.|Italy|2007|80.0|185.0|right|32.0|Fritz T.|USA|2013|86.0|193.0|right|26.0|clay|20200914
Rome|1.28|3.71|Sinner J.|Italy|2015|76.0|188.0|right|23.0|Paire B.|France|2007|80.0|196.0|right|35.0|clay|20200914
Rome|1.52|2.52|Nishikori K.|Japan|2005|73.0|178.0|right|34.0|Ramos-Vinolas A.|Spain|2004|76.0|188.0|left|36.0|clay|20200914
Rome|1.63|2.25|Hurkacz H.|Poland|2014|81.0|196.0|right|27.0|Evans D.|GreatBritain|2005|75.0|175.0|right|34.0|clay|20200914
Rome|2.28|1.63|Humbert U.|France|2014|73.0|188.0|left|26.0|Anderson K.|RSA|2004|94.0|203.0|right|38.0|clay|20200914
Rome|1.35|3.19|Sonego L.|Italy|2013|76.0|191.0|right|29.0|Basilashvili N.|Georgia|2007|79.0|185.0|right|32.0|clay|20200914
Rome|2.01|1.79|Coric B.|Croatia|2011|85.0|188.0|right|27.0|Garin C.|Chile|2010|85.0|185.0|right|28.0|clay|20200914
Rome|1.35|3.21|Cilic M.|Croatia|2004|89.0|198.0|right|35.0|Bublik A.|Kazakhstan|2011|77.0|198.0|right|27.0|clay|20200914
Rome|1.53|2.48|Dimitrov G.|Bulgaria|2007|81.0|191.0|right|33.0|Mager G.|Italy|2010|77.0|188.0|right|29.0|clay|20200914
Rome|2.00|1.81|Ruud C.|Norway|2013|77.0|183.0|right|25.0|Khachanov K.|Russia|2011|87.0|198.0|right|28.0|clay|20200914
Rome|1.61|2.32|Krajinovic F.|Serbia|2008|75.0|185.0|right|32.0|Auger Aliassime F.|Canada|2015|88.0|193.0|right|24.0|clay|20200914
Iasi challenger|1.09|6.95|Munar J.|Spain|2012|76.0|183.0|right|27.0|Polansky P.|Canada|2003|80.0|183.0|right|36.0|clay|20200914
Iasi challenger|1.27|3.53|Zuk K.|Poland|2015|78.0|183.0|right|25.0|Ionel N.|Romania|2017|71.0|183.0|right|21.0|clay|20200914
Iasi challenger|2.24|1.60|Cretu C.|Romania|2016|||right|23.0|Moriya H.|Japan|2007|65.0|168.0|right|33.0|clay|20200914
