Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Labbene Y.|TUN|Right-Handed|Moro Almeida L.|BRA|Right-Handed|0.0|0.0|-11.0|11.5|9.5|3.0|-5.74
clay|Affes M.|TUN|Right-Handed|Verdier T.|FRA|Right-Handed|1.0||11.0|-11.5|-9.5|6.0|5.74
clay|Srbljak G.|TUN|Left-Handed|Madaras D.|SWE|Left-Handed|1.0||106.0|-11.0|-11.0|0.0|2.2800000000000002
clay|Spencer P.|FRA|Right-Handed|Thursfield H.|TUN|Right-Handed|0.0|-1.0|-11.0|11.5|9.5|3.0|-5.74
clay|Schiemann L.|DEU|Right-Handed|Yunis F.|CHE|Right-Handed|1.0||11.0|-11.5|-9.5|1.0|5.74
clay|Harris B.|TUN|Right-Handed|Kravchenko G.|UKR|Right-Handed|1.0||11.0|23.0|11.0|5.0|0.9199999999999999
clay|Folliot Q.|FRA|Right-Handed|Donev G.|BGR|Right-Handed|0.0|-2.0|-11.0|15.5|9.5|-3.0|0.3599999999999999
clay|Thursfield C.|TUN|Right-Handed|Tufekcic G.|DEU|Right-Handed|1.0||11.0|-11.5|-9.5|-3.0|5.74
clay|Verdier T.|FRA|Right-Handed|Affes M.|TUN|Right-Handed|0.0|-14.0|-11.0|11.5|9.5|-6.0|-5.74
clay|Jotovski T.|TUN|Right-Handed|Setkic A.|FRA|Right-Handed|1.0||-58.0|-12.0|-11.0|-3.0|2.41
clay|Valsecchi P.|FRA|Left-Handed|Basic M.|FRA|Right-Handed|1.0||-326.0|-14.0|-8.0|-6.0|5.74
clay|Becheur R.|TUN|Right-Handed|Affes M.|TUN|Right-Handed|1.0||11.0|-11.5|-9.5|2.0|5.74
clay|Madaras D.|SWE|Left-Handed|Srbljak G.|TUN|Left-Handed|0.0|0.0|-106.0|11.0|11.0|0.0|-2.2800000000000002
clay|Ben Fraj S.|TUN|Right-Handed|Haertell Thomsen R.|DEU|Right-Handed|0.0|3.0|-11.0|11.5|9.5|-16.0|-5.74
clay|Haddad M.|TUN|Right-Handed|Spencer P.|FRA|Right-Handed|1.0||11.0|-11.5|-9.5|10.0|5.74
clay|Deviatiarov M.|UKR|Right-Handed|Pjevcevic P.|SRB|Right-Handed|0.0|1.0|-11.0|9.0|8.0|1.0|-2.72
clay|Stringfellow B.|FRA|Right-Handed|Hermassi R.|TUN|Right-Handed|0.0|3.0|-11.0|11.5|9.5|5.0|-5.74
clay|Tufekcic G.|DEU|Right-Handed|Verstegen Q.|NLD|Right-Handed|1.0||11.0|-11.5|-9.5|1.0|5.74
clay|Moro Almeida L.|BRA|Right-Handed|Labbene Y.|TUN|Right-Handed|1.0||11.0|-11.5|-9.5|-3.0|5.74
clay|Setkic A.|FRA|Right-Handed|Jotovski T.|TUN|Right-Handed|0.0|2.0|58.0|12.0|11.0|3.0|-2.41
clay|Tufekcic G.|DEU|Right-Handed|Thursfield C.|TUN|Right-Handed|0.0|2.0|-11.0|11.5|9.5|3.0|-5.74
clay|Picaud L.|FRA|Right-Handed|Oueslati M.|TUN|Right-Handed|0.0|0.0|-11.0|11.5|9.5|-2.0|-5.74
clay|Affes M.|TUN|Right-Handed|Becheur R.|TUN|Right-Handed|0.0|16.0|-11.0|11.5|9.5|-2.0|-5.74
clay|Donev G.|BGR|Right-Handed|Folliot Q.|FRA|Right-Handed|1.0||11.0|-15.5|-9.5|3.0|-0.3599999999999999
clay|Thursfield H.|TUN|Right-Handed|Spencer P.|FRA|Right-Handed|1.0||11.0|-11.5|-9.5|-3.0|5.74
clay|Villoslada E.|FRA|Right-Handed|Ghorbel A.|TUN|Right-Handed|1.0||11.0|-11.5|-9.5|-11.0|5.74
clay|Ghorbel A.|TUN|Right-Handed|Villoslada E.|FRA|Right-Handed|0.0|16.0|-11.0|11.5|9.5|11.0|-5.74
clay|Uchida K.|JPN|Right-Handed|Mansouri S.|TUN|Right-Handed|1.0||121.0|-12.0|-13.0|0.0|0.4099999999999999
clay|Garcian A.|FRA|Right-Handed|Ben Fraj S.|TUN|Right-Handed|0.0|-1.0|-11.0|11.5|9.5|0.0|-5.74
clay|Kravchenko G.|UKR|Right-Handed|Harris B.|TUN|Right-Handed|0.0|-3.0|-11.0|-23.0|-11.0|-5.0|-0.9199999999999999
clay|Kekez D.|HRV|Right-Handed|Pavlovic L.|FRA|Right-Handed|1.0||11.0|-11.5|-9.5|7.0|1.1300000000000001
clay|Ben Chouikha F.|TUN|Right-Handed|Agostinetto G.|ITA|Right-Handed|1.0||11.0|-11.5|-9.5|0.0|5.74
clay|Oueslati M.|TUN|Right-Handed|Picaud L.|FRA|Right-Handed|1.0||11.0|-11.5|-9.5|2.0|5.74
clay|Basic M.|FRA|Right-Handed|Valsecchi P.|FRA|Left-Handed|0.0|8.0|326.0|14.0|8.0|6.0|-5.74
clay|Pavlovic L.|FRA|Right-Handed|Kekez D.|HRV|Right-Handed|0.0|-8.0|-11.0|11.5|9.5|-7.0|-1.1300000000000001
clay|Pjevcevic P.|SRB|Right-Handed|Deviatiarov M.|UKR|Right-Handed|1.0||11.0|-9.0|-8.0|-1.0|2.72
clay|Agostinetto G.|ITA|Right-Handed|Ben Chouikha F.|TUN|Right-Handed|0.0|3.0|-11.0|11.5|9.5|0.0|-5.74
clay|Ben Fraj S.|TUN|Right-Handed|Garcian A.|FRA|Right-Handed|1.0||11.0|-11.5|-9.5|0.0|5.74
clay|Haertell Thomsen R.|DEU|Right-Handed|Ben Fraj S.|TUN|Right-Handed|1.0||11.0|-11.5|-9.5|16.0|5.74
clay|Verstegen Q.|NLD|Right-Handed|Tufekcic G.|DEU|Right-Handed|0.0|1.0|-11.0|11.5|9.5|-1.0|-5.74
clay|Yunis F.|CHE|Right-Handed|Schiemann L.|DEU|Right-Handed|0.0|3.0|-11.0|11.5|9.5|-1.0|-5.74
clay|Spencer P.|FRA|Right-Handed|Haddad M.|TUN|Right-Handed|0.0|1.0|-11.0|11.5|9.5|-10.0|-5.74
clay|Moraing M.|DEU|Right-Handed|Ganchev A.|BGR|Right-Handed|1.0||-30.0|-11.5|-9.5|2.0|5.74
clay|Mansouri S.|TUN|Right-Handed|Uchida K.|JPN|Right-Handed|0.0|-2.0|-121.0|12.0|13.0|0.0|-0.4099999999999999
