Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Tajima N.|JPN|Right-Handed|Mpetshi Perricard G.|FRA|Right-Handed|1.0||76.0|-5.0|-11.0|2.0|-2.07
clay|Schwartz A.|ISR|Right-Handed|Benya R.|ISR|Right-Handed|1.0||76.0|0.0|1.0|-4.0|-2.07
clay|Tamar G.|ISR|Right-Handed|Sorin T.|ISR|Right-Handed|0.0|6.0|-76.0|0.0|-1.0|4.0|2.07
clay|Melnic V.|ROU|Right-Handed|Thirouin J.|FRA|Right-Handed|1.0||76.0|-7.0|-3.0|-1.0|-2.07
clay|Abou Taleb B.|EGY|Right-Handed|Virtanen O.|FIN|Right-Handed|1.0||-81.0|0.0|1.0|2.0|-2.07
clay|Lopez Montagud C.|ESP|Right-Handed|Falcao G.|PRT|Right-Handed|0.0|-10.0|-76.0|0.0|-1.0|-12.0|2.07
clay|Rodionov J.|AUT|Left-Handed|Kopriva V.|CZE|Right-Handed|1.0||146.0|17.0|13.0|-2.0|0.7299999999999998
clay|Kolar Z.|CZE|Right-Handed|Bachinger M.|DEU|Right-Handed|0.0|-10.0|67.0|-10.0|-3.0|-10.0|-1.2700000000000002
clay|Alcala Gurri M.|ESP|Right-Handed|Musialek A.|FRA|Right-Handed|0.0|-10.0|-76.0|-2.0|1.0|-15.0|2.07
clay|Voisin E.|FRA|Right-Handed|Vives Marcos P.|ESP|Right-Handed|1.0||76.0|-6.0|-6.0|1.0|-2.07
clay|Prihodko O.|UKR|Right-Handed|Agarwal R.|IND|Right-Handed|0.0|-1.0|-76.0|4.0|5.0|-2.0|2.07
clay|Yamanaka T.|JPN|Right-Handed|Faria L.|PRT|Right-Handed|1.0||76.0|0.0|1.0|-3.0|-2.07
clay|Vincent Ruggeri S.|ITA|Right-Handed|Cobolli F.|ITA|Right-Handed|1.0||315.0|0.0|1.0|0.0|0.7299999999999998
clay|Dimitrov G.|BGR|Right-Handed|Harris L.|ITA|Right-Handed|1.0||1403.0|1.0|-2.0|6.0|-1.77
clay|Winter Lopez B.|ESP|Right-Handed|Mir Anglada L.|ESP|Right-Handed|0.0|4.0|-76.0|0.0|-1.0|5.0|2.07
clay|Maestrelli F.|ITA|Right-Handed|Passaro F.|ITA|Right-Handed|1.0||181.0|0.0|1.0|-2.0|0.7299999999999998
clay|Arh A.|SVN|Right-Handed|Haviv R.|ISR|Right-Handed|1.0||76.0|0.0|1.0|3.0|-2.07
clay|Stakhovsky S.|UKR|Right-Handed|Istomin D.|UZB|Right-Handed|0.0|-1.0|27.0|-5.0|5.0|1.0|0.48
clay|Nijboer R.|NLD|Right-Handed|Voisin E.|FRA|Right-Handed|1.0||76.0|5.0|2.0|1.0|-2.07
clay|Gabay S.|ISR|Right-Handed|Gaponenko A.|ISR|Right-Handed|1.0||76.0|0.0|1.0|2.0|-2.07
clay|Beaupain S.|BEL|Right-Handed|Vives Marcos P.|ESP|Right-Handed|1.0||76.0|-2.0|-6.0|2.0|-2.07
clay|Lehecka J.|CZE|Right-Handed|Safiullin R.|RUS|Right-Handed|0.0|-4.0|137.0|5.0|-2.0|-5.0|-1.5699999999999998
clay|Van Assche L.|FRA|Right-Handed|Araujo P.|PRT|Right-Handed|0.0|0.0|-190.0|0.0|-1.0|-2.0|2.07
clay|Chavez Villalpando L.|BOL|Right-Handed|Bertola R.|CHE|Right-Handed|1.0||76.0|0.0|1.0|3.0|-2.07
clay|Donders D.|NLD|Left-Handed|Sinclair C.|ITA|Right-Handed|1.0||76.0|-4.0|-3.0|-5.0|-2.07
clay|Lorenzi P.|ITA|Right-Handed|Gaio F.|ITA|Right-Handed|1.0||-77.0|-6.0|3.0|10.0|1.6300000000000001
clay|Heaney-Secord C.|ITA|Right-Handed|Coelho F.|PRT|Right-Handed|1.0||76.0|0.0|1.0|8.0|-2.07
clay|Fils A.|FRA|Right-Handed|Mansilla Diez M.|ESP|Right-Handed|0.0|-4.0|-244.0|0.0|-1.0|-2.0|2.07
clay|Kawahashi Y.|JPN|Right-Handed|Pampanin P.|ITA|Right-Handed|0.0|0.0|-76.0|0.0|-1.0|5.0|2.07
clay|Barreto Sanchez D.|ESP|Left-Handed|Bondarevskiy Y.|RUS|Left-Handed|0.0|-3.0|-76.0|7.0|-7.0|-2.0|2.07
clay|Cressy M.|ITA|Right-Handed|Safwat M.|EGY|Right-Handed|0.0|-8.0|47.0|5.0|21.0|-6.0|0.32999999999999985
clay|Otegui J.|ARG|Right-Handed|Toledo Bague P.|ESP|Right-Handed|1.0||76.0|11.0|13.0|-4.0|-2.07
clay|Kravchenko P.|RUS|Right-Handed|Vilicich B.|ARG|Right-Handed|1.0||76.0|0.0|1.0|1.0|-2.07
clay|Boyer T.|ITA|Right-Handed|Beckley A.|ITA|Right-Handed|0.0|1.0|-76.0|-5.0|-2.0|5.0|2.07
clay|Sada I.|ITA|Right-Handed|Madaras D.|SWE|Left-Handed|1.0||251.0|-7.0|-6.0|0.0|-2.07
clay|Yamasaki J.|JPN|Right-Handed|Peters F.|DEU|Right-Handed|1.0||76.0|-3.0|-4.0|-1.0|-2.07
clay|Bolt A.|AUS|Left-Handed|Collarini A.|ARG|Left-Handed|1.0||61.0|4.0|-2.0|-1.0|4.050000000000001
clay|Caripi V.|ITA|Right-Handed|Duncan S.|ITA|Right-Handed|1.0||76.0|-3.0|1.0|2.0|-2.07
clay|Hellum Lilleengen L.|NOR|Right-Handed|Veldheer M.|NLD|Left-Handed|1.0||76.0|-3.0|-3.0|-5.0|-2.07
clay|Melzer G.|AUT|Left-Handed|Massara A.|ITA|Right-Handed|0.0|3.0|82.0|10.0|10.0|6.0|2.07
clay|Veldheer M.|NLD|Left-Handed|Hellum Lilleengen L.|NOR|Right-Handed|0.0|2.0|-76.0|3.0|3.0|5.0|2.07
clay|Delbonis F.|ARG|Left-Handed|Carreno-Busta P.|ESP|Right-Handed|0.0|1.0|65.0|12.0|5.0|0.0|2.32
clay|Thirouin J.|FRA|Right-Handed|Melnic V.|ROU|Right-Handed|0.0|1.0|-76.0|7.0|3.0|1.0|2.07
clay|Beckley A.|ITA|Right-Handed|Boyer T.|ITA|Right-Handed|1.0||76.0|5.0|2.0|-5.0|-2.07
clay|Kolisnyk O.|UKR|Right-Handed|Syed Naguib S.|MYS|Right-Handed|0.0|-5.0|-76.0|0.0|-1.0|-2.0|2.07
clay|Frinzi M.|ITA|Right-Handed|Castagnola L.|ITA|Right-Handed|0.0|4.0|-76.0|6.0|1.0|3.0|2.07
clay|Prihodko O.|UKR|Right-Handed|Alcala Gurri M.|ESP|Right-Handed|1.0||76.0|-1.0|-4.0|5.0|-2.07
clay|Winter Lopez B.|ESP|Right-Handed|Toledo Bague P.|ESP|Right-Handed|1.0||76.0|6.0|7.0|-3.0|-2.07
clay|Brumm J.|ITA|Right-Handed|Sim S.|KOR|Right-Handed|0.0|4.0|-76.0|0.0|-1.0|-2.0|2.07
clay|De Rosa M.|ITA|Right-Handed|Dimitrov M.|BGR|Right-Handed|1.0||76.0|0.0|1.0|-1.0|-2.07
clay|Zuk K.|POL|Right-Handed|Etcheverry T.|ARG|Right-Handed|0.0|-1.0|-49.0|-4.0|-13.0|0.0|-0.9099999999999999
clay|Gadamauri B.|BEL|Right-Handed|Chepelev A.|RUS|Left-Handed|0.0|-1.0|-76.0|0.0|-1.0|-2.0|2.07
clay|Bazilevskiy V.|ISR|Right-Handed|Cohen E.|ISR|Right-Handed|1.0||76.0|0.0|1.0|-6.0|-2.07
clay|Alcaraz C.|ESP|Right-Handed|Mannarino A.|FRA|Left-Handed|0.0|-14.0|-1027.0|-7.0|5.0|-15.0|-3.08
clay|Visker N.|NLD|Right-Handed|Bertola R.|CHE|Right-Handed|0.0|-4.0|-76.0|0.0|-1.0|-3.0|2.07
clay|Kawakami R.|JPN|Left-Handed|Qabazard E.|KWT|Right-Handed|0.0|-1.0|-76.0|-8.0|-7.0|1.0|2.07
clay|Imamura M.|JPN|Right-Handed|Svajda Z.|ITA|Right-Handed|1.0||405.0|19.0|10.0|0.0|-2.07
clay|De La Bassetiere C.|FRA|Right-Handed|Emesz B.|AUT|Right-Handed|1.0||76.0|2.0|1.0|4.0|-2.07
clay|Toledo Bague P.|ESP|Right-Handed|Winter Lopez B.|ESP|Right-Handed|0.0|6.0|-76.0|-6.0|-7.0|3.0|2.07
clay|Bidny Y.|ISR|Right-Handed|Vales A.|ISR|Right-Handed|0.0|0.0|-76.0|0.0|-1.0|6.0|2.07
