Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Kopp S.|AUT|Right-Handed|2.6|Dodig M.|HRV|Right-Handed|1.46|1.0||14.5|0.0|0.0|5.0|1.1400000000000001
hard|Gimenez I.|BRA|Right-Handed|1.32|Monferrer E.|ARG|Right-Handed|3.09|0.0|1.0|-14.5|0.0|0.0|3.0|-1.7699999999999998
hard|Rinderknech A.|FRA|Right-Handed|1.38|Fognini F.|ITA|Right-Handed|2.92|0.0|-9.0|329.0|7.0|18.0|-8.0|-1.54
hard|Vilicich B.|ARG|Right-Handed|1.98|Estevez J.|ARG|Right-Handed|1.73|0.0|2.0|-14.5|0.0|0.0|7.0|0.25
hard|Butulija B.|SRB|Left-Handed|1.9|Smoliner T.|AUT|Right-Handed|1.7|1.0||14.5|0.0|0.0|3.0|0.19999999999999996
hard|Brunold M.|CHE|Right-Handed|1.37|Bailly G.|BEL|Right-Handed|2.81|0.0|2.0|357.0|0.0|0.0|0.0|-1.44
hard|Pankin S.|RUS|Right-Handed|1.88|Brkic J.|HRV|Right-Handed|1.79|0.0|-4.0|-14.5|0.0|0.0|0.0|0.08999999999999986
hard|Nikolic M.|SRB|Right-Handed|6.8|Radjenovic V.|SRB|Right-Handed|1.06|1.0||14.5|0.0|0.0|0.0|5.74
hard|Oradini G.|ITA|Left-Handed|1.79|Bondioli F.|ITA|Left-Handed|1.9|0.0|10.0|-14.5|0.0|0.0|7.0|-0.10999999999999988
hard|Picchione A.|ITA|Right-Handed|1.16|La Vela G.|ITA|Right-Handed|4.48|0.0|1.0|-14.5|0.0|0.0|3.0|-3.3200000000000003
hard|Mishkin K.|RUS|Left-Handed|9.0|Pieri S.|ITA|Right-Handed|1.04|1.0||14.5|0.0|0.0|-1.0|7.96
Varioussurfaces|Grippo V.|ARG|Right-Handed|4.5|Martinez T.|ARG|Right-Handed|1.17|1.0||14.5|0.0|0.0|2.0|3.33
indoors|Halys Q.|FRA|Right-Handed|1.17|Coulibaly E.|CIV|Left-Handed|4.71|1.0||379.0|0.0|8.0|5.0|-3.54
