Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Paris - Masters|1.20|4.60|Djokovic N.|Serbia|2003|80.0|187.0|right|37.0|Tsitsipas S.|Greece|2013|89.0|193.0|right|26.0|indoors|20221105
Paris - Masters|2.72|1.47|Rune H.|Denmark|2018|68.0|185.0|right|21.0|Auger Aliassime F.|Canada|2015|88.0|193.0|right|24.0|indoors|20221105
Charlottesville challenger|1.23|3.93|Shelton B.|USA|2021|||left|21.0|Jubb P.|GreatBritain|2016|69.0|180.0|right|24.0|indoors|20221105
Charlottesville challenger|1.82|1.92|Eubanks C.|USA|2012|82.0|201.0|right|28.0|Nava E.|USA|2016|74.0|183.0|right|22.0|indoors|20221105
Guayaquil challenger|2.24|1.61|Altmaier D.|Germany|2013|88.0|191.0|right|25.0|Cecchinato M.|Italy|2009|78.0|185.0|right|31.0|clay|20221105
Guayaquil challenger|1.85|1.88|Coria F.|Argentina|2007|73.0|180.0|right|32.0|Varillas J.|Peru|2012|78.0|185.0|right|28.0|clay|20221105
Sydney challenger|2.69|1.44|Hsu Y.|ChineseTaipei|2015|70.0|178.0|right|25.0|Purcell M.|Australia|2013|75.0|185.0|right|26.0|hard|20221105
Sydney challenger|1.45|2.65|Polmans M.|Australia|2011|78.0|188.0|right|27.0|Gengel M.|CzechRepublic|2014|80.0|185.0|right|28.0|hard|20221105
Yokohama challenger|1.40|2.83|O'Connell C.|Australia|2011|78.0|183.0|right|30.0|Shimabukuro S.|Japan|2015|75.0|183.0|right|27.0|hard|20221105
Yokohama challenger|1.34|3.09|Watanuki Y.|Japan|2013|63.0|180.0|right|26.0|Serdarusic N.|Croatia|2011|85.0|191.0|right|27.0|hard|20221105
Bergamo challenger|2.20|1.63|Virtanen O.|Finland|2016|||right|23.0|Borges N.|Portugal|2012|75.0|185.0|right|27.0|indoors|20221105
Bergamo challenger|1.45|2.65|Struff J.|Germany|2008|92.0|193.0|right|34.0|Rodionov J.|Austria|2015|86.0|191.0|left|25.0|indoors|20221105
Bergamo challenger|1.49|2.40|Lama G.|Chile|2008|82.0|180.0|right|31.0|Descotte M.|Argentina|2011|87.0|191.0|right|30.0|indoors|20221105
Bergamo challenger|1.22|3.80|Heide G.|Brazil|2018|||right|22.0|Ambrogi L.|Argentina|2019|||right|20.0|indoors|20221105
Bergamo challenger|1.83|1.85|Blanchet U.|France|2015|||right|25.0|Yunchaokete B.|China|2017|||right|22.0|indoors|20221105
Bergamo challenger|2.38|1.52|Jacquet K.|France|2017|65.0|175.0|right|23.0|Briand J.|France|2015|||right|25.0|indoors|20221105
Bergamo challenger|1.96|1.68|Peliwo F.|Poland|2010|72.0|180.0|right|30.0|Cukierman D.|Israel|2012|||right|29.0|indoors|20221105
Bergamo challenger|2.44|1.49|Orlov V.|Ukraine|2014|77.0|185.0|right|29.0|Wessels L.|Germany|2014|90.0|198.0|right|25.0|indoors|20221105
Bergamo challenger|2.39|1.52|Huang T.|ChineseTaipei|2015|||right|24.0|Kravchuk K.|Russia|2003|80.0|191.0|right|39.0|indoors|20221105
Bergamo challenger|1.65|2.10|Weber A.|France|2017|||left|32.0|Wong C.|HongKong|2018|||right|20.0|indoors|20221105
Bergamo challenger|1.32|3.05|Dellien M.|Bolivia|2011|||right|26.0|Bueno G.|Peru|2018|||right|20.0|indoors|20221105
Bergamo challenger|1.48|2.46|Tien L.|USA|2021|||left|18.0|Kim A.|USA|2021|||right|19.0|indoors|20221105
Bergamo challenger|2.09|1.65|Roncadelli F.|Uruguay|2016|73.0|185.0|left|24.0|Monzon I.|Argentina|2013|||right|26.0|indoors|20221105
Bergamo challenger|1.47|2.47|Samuel T.|GreatBritain|2020|||right|22.0|Wallin O.|Sweden|2019|||right||indoors|20221105
Bergamo challenger|1.61|2.20|Mitsui S.|Japan|2021|||right|22.0|Kodat T.|USA|2019|73.0|178.0|right|21.0|indoors|20221105
Bergamo challenger|2.31|1.54|Fassbender B.|France|2014|||right|26.0|Marmousez L.|France|2017|||right|22.0|indoors|20221105
Bergamo challenger|1.91|1.78|Efstathiou M.|Cyprus|2014|||right|25.0|O'Hoisin O.|Ireland|2015|82.0|193.0|right|27.0|indoors|20221105
Bergamo challenger|1.33|3.07|Added D.|France|2015|72.0|183.0|right|25.0|Deckers A.|Netherlands|2017|82.0|193.0|right|24.0|indoors|20221105
Bergamo challenger|1.36|2.87|Kopp S.|Austria|2015|||right|24.0|Zima L.|Germany|2015|||right|24.0|indoors|20221105
Bergamo challenger|5.73|1.11|Bacaloni A.|Italy|2022|||right|22.0|Wang X.|China|2018|||right|21.0|indoors|20221105
Bergamo challenger|1.77|1.93|Pontjodikromo S.|Netherlands|2016|||right|23.0|Dellavedova M.|Australia|2015|81.0|191.0|right|24.0|indoors|20221105
Bergamo challenger|2.53|1.45|Beaupain S.|Belgium|2014|76.0|178.0|right|25.0|Donski A.|Bulgaria|2014|80.0|188.0|right|26.0|indoors|20221105
Bergamo challenger|1.64|2.11|Cungu R.|Montenegro|2013|70.0|173.0|right|26.0|Winter Lopez B.|Spain|2016|||right|26.0|indoors|20221105
Bergamo challenger|1.32|3.07|Atmane T.|France|2017|||left|22.0|Echeverria J.|Spain|2016|||right|22.0|indoors|20221105
Bergamo challenger|2.07|1.64|Van Wyk K.|RSA|2014|||right|27.0|Artnak B.|Slovenia|2021|||right|20.0|indoors|20221105
Bergamo challenger|1.39|2.72|Moller E.|Denmark|2019|||right|21.0|Pietri B.|France|2015|78.0|180.0|right|28.0|indoors|20221105
Bergamo challenger|1.39|2.71|Kuzuhara B.|USA|2021|||right|20.0|Jecan M.|Romania|2004|73.0|180.0|left|36.0|indoors|20221105
Bergamo challenger|1.17|4.37|Erel Y.|Turkey|2016|||left|23.0|Atlangeriev B.|Russia|2016|||right|23.0|indoors|20221105
Bergamo challenger|2.69|1.40|Tamm K.|Estonia|2014|||right|26.0|Jansen W.|GreatBritain|2021|||left|19.0|indoors|20221105
Bergamo challenger|4.33|1.17|Bax F.|France|2016|||right|25.0|Crawford O.|GreatBritain|2016|84.0|180.0|right|25.0|indoors|20221105
Bergamo challenger|1.61|2.16|Singh D.|India|2015|||right|24.0|Kaliyanda Poonacha N.|India|2014|85.0|188.0|right|29.0|indoors|20221105
UTR Pro Match Series|1.65|2.05|Chodur A.|USA|2022|||right|20.0|Duong D.|USA|2022|||right|18.0|Varioussurfaces|20221105
UTR Pro Match Series|1.38|2.70|Krishna R.|India|2021|||right|21.0|Corse J.|USA|2016|||right||Varioussurfaces|20221105
UTR Pro Match Series|1.85|1.80|Papa C.|USA|2019|||right||Cortes Campos N.|Colombia|2020|||right||Varioussurfaces|20221105
UTR Pro Match Series|1.80|1.83|Smiej Y.|Morocco|2018|||right|24.0|Bellegy A.|France|2021|||right|23.0|Varioussurfaces|20221105
UTR Pro Match Series|3.20|1.27|Mayo K.|USA|2014|93.0|198.0|right|24.0|Zahraj P.|Germany|2015|||right|25.0|Varioussurfaces|20221105
UTR Pro Match Series|1.18|3.90|Rajski M.|Poland|2006|80.0|193.0|right|33.0|Luque Rico E.|Spain|2015|||right|24.0|Varioussurfaces|20221105
UTR Pro Match Series|1.83|1.80|Aney A.|USA|2021|||right||Elizarraras E.|Mexico|2016|||right|24.0|Varioussurfaces|20221105
UTR Pro Match Series|1.22|3.60|Ventre A.|Brazil|2002|||right|39.0|Elizarraras E.|Mexico|2016|||right|24.0|Varioussurfaces|20221105
UTR Pro Tennis Series 5|1.33|2.90|Bloomfield R.|GreatBritain|2002|75.0|185.0|right|41.0|Markiewicz J.|Germany|2011|||right|30.0|Varioussurfaces|20221105
UTR Pro Tennis Series 5|1.33|2.90|Wendelken H.|GreatBritain|2017|||right|22.0|Onuma Y.|GreatBritain|2019|||right||Varioussurfaces|20221105
UTR Pro Tennis Series 5|1.48|2.40|Pudney E.|GreatBritain|2022|||right|24.0|Beaven J.|GreatBritain|2022|||right||Varioussurfaces|20221105
UTR Pro Tennis Series 5|2.50|1.44|Gschwendtner J.|GreatBritain|2015|||right|26.0|Tyler J.|GreatBritain|2015|||right|25.0|Varioussurfaces|20221105
UTR Pro Tennis Series 5|1.67|2.00|Tutu M.|GreatBritain|2010|||right|32.0|Mcintosh E.|GreatBritain|2010|||right|29.0|Varioussurfaces|20221105
UTR Pro Tennis Series 5|2.10|1.62|Maker S.|GreatBritain|2016|||right|25.0|Nestola F.|GreatBritain|2022|||right|19.0|Varioussurfaces|20221105
UTR Pro Tennis Series 5|3.10|1.29|Scotuzzi F.|Italy|2021|||right|20.0|Van Donselaar F.|Netherlands|2021|||right||Varioussurfaces|20221105
UTR Pro Tennis Series 5|1.48|2.40|Wright A.|GreatBritain|2022|||right||Samojlowicz M.|Poland|2017|||right|25.0|Varioussurfaces|20221105
