Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Halle|2.27|1.65|Bublik A.|Kazakhstan|2011|77.0|198.0|right|27.0|Rublev A.|Russia|2013|70.0|188.0|right|26.0|grass|20230625
Queen's Club|1.29|3.67|Alcaraz C.|Spain|2018|72.0|185.0|right|21.0|De Minaur A.|Australia|2015|69.0|183.0|right|25.0|grass|20230625
Mallorca|4.71|1.19|Pella G.|Argentina|2005|79.0|183.0|left|34.0|Giron M.|USA|2008|77.0|180.0|right|31.0|grass|20230625
Mallorca|2.66|1.47|Moutet C.|France|2014|68.0|175.0|left|25.0|O'Connell C.|Australia|2011|78.0|183.0|right|30.0|grass|20230625
Mallorca|1.26|3.54|Walton A.|Australia|2015|76.0|185.0|right|25.0|Chappell N.|USA|2010|82.0|178.0|left|31.0|grass|20230625
Mallorca|1.54|2.31|Pawelski M.|Poland|2020|||right|19.0|Peliwo F.|Poland|2010|72.0|180.0|right|30.0|grass|20230625
Mallorca|2.67|1.41|Rikl P.|CzechRepublic|2014|80.0|185.0|right|25.0|Paulson A.|CzechRepublic|2018|||right|22.0|grass|20230625
Mallorca|2.57|1.45|Vacherot V.|Monaco|2014|||right|25.0|Droguet T.|France|2017|||right|23.0|grass|20230625
Mallorca|1.33|3.00|Campana Lee G.|SouthKorea|2021|||right|19.0|Shin S.|SouthKorea|2015|75.0|180.0|right|27.0|grass|20230625
Mallorca|1.39|2.74|Kumar O.|USA|2016|||left|22.0|Vandecasteele Q.|USA|2018|||right|22.0|grass|20230625
Mallorca|1.93|1.77|Tracy J.|USA|2021|||right|22.0|Kirchheimer S.|USA|2013|79.0|185.0|right|29.0|grass|20230625
Mallorca|3.82|1.22|Browning T.|USA|2019|||right|21.0|Draxl L.|Canada|2016|||right|22.0|grass|20230625
